timestamp,latitude,longitude,speed,angle_change,object_type,terrain,visibility,sensor_confidence,label
2026-01-13T14:48:36.875395,23.7906680811908,69.5157364281272,3.0341338575059593,14.92676803813023,Animal,Sandy,Foggy,0.58,0
2026-01-13T14:48:37.875414,23.750669546754892,69.46559280176974,2.693147104399785,12.630333527966274,Human,Marshy,Clear,0.68,0
2026-01-13T14:48:38.875421,23.759636995046034,69.51202370589023,6.027225315108443,63.823422628909924,Animal,Sandy,Foggy,0.88,0
2026-01-13T14:48:39.875427,23.811229744310715,69.52117822948945,2.913275847762321,5.213844644061679,Human,Salt Flat,Clear,0.71,0
2026-01-13T14:48:40.875431,23.755884681440214,69.5315607395444,7.7235470102631645,109.33833327995836,Animal,Sandy,Foggy,0.57,0
2026-01-13T14:48:41.875436,23.77900543504306,69.54143997994333,4.361701967460026,11.201612956811584,Drone,Marshy,Night,0.91,0
2026-01-13T14:48:42.875440,23.764098088911798,69.46276371982643,4.360922330740609,7.455234694615916,Vehicle,Marshy,Clear,0.97,0
2026-01-13T14:48:43.875444,23.822602665162876,69.46522265845681,4.463557859494742,6.280446655431737,Animal,Sandy,Night,0.78,0
2026-01-13T14:48:44.875447,23.801967798718568,69.46407895587242,3.3278326811399075,19.007604890711942,Animal,Salt Flat,Night,0.91,0
2026-01-13T14:48:45.875451,23.777873969274108,69.52195673545819,3.328960353593531,18.136529258219376,Animal,Sandy,Clear,0.93,0
2026-01-13T14:48:46.875455,23.842302350438906,69.48680494722915,8.006325052959635,111.39398795384311,Drone,Sandy,Night,0.84,0
2026-01-13T14:48:47.875459,23.834017264791054,69.53724389936885,7.457181136747094,58.48028349452589,Human,Sandy,Foggy,0.58,0
2026-01-13T14:48:48.875463,23.812569221601535,69.4781886437412,6.542448802339689,74.58822712305678,Drone,Marshy,Night,0.6,0
2026-01-13T14:48:49.875467,23.79851066320623,69.53111133692808,3.5823121833610028,16.59327625004854,Drone,Marshy,Night,0.79,0
2026-01-13T14:48:50.875470,23.789416057151726,69.48011249085467,4.3921358126377115,1.4363615437360977,Human,Marshy,Clear,0.86,0
2026-01-13T14:48:51.875474,23.79101196414292,69.45610983154903,3.4538538662570017,1.7861317410785715,Drone,Sandy,Foggy,0.72,0
2026-01-13T14:48:52.875478,23.80465151256708,69.51699733688929,6.569597506451649,82.12490114238824,Drone,Marshy,Night,0.9,0
2026-01-13T14:48:53.875485,23.829819961975904,69.483195100577,6.903436275934088,90.50300297981077,Human,Sandy,Night,0.66,0
2026-01-13T14:48:54.875490,23.848776938694865,69.52204581941126,4.2714300245473895,5.4798507272471975,Human,Marshy,Clear,0.78,0
2026-01-13T14:48:55.875495,23.794308402569857,69.50360551427266,4.071393032376652,11.398036475903572,Drone,Salt Flat,Night,0.67,0
2026-01-13T14:48:56.875499,23.768112158119276,69.51247830120074,6.25795253385768,102.30815468566422,Vehicle,Marshy,Night,0.6,0
2026-01-13T14:48:57.875503,23.756599010266665,69.50011521604029,4.286426196531782,12.62553690962635,Vehicle,Marshy,Foggy,0.95,0
2026-01-13T14:48:58.875506,23.766837949023945,69.54867752350877,3.9575580364221263,17.678231679840167,Drone,Salt Flat,Clear,0.57,0
2026-01-13T14:48:59.875510,23.78918953428088,69.54058144720867,3.541334998661683,14.662916334869427,Animal,Marshy,Night,0.83,0
2026-01-13T14:49:00.875514,23.785032398544658,69.53693532028663,6.1694033894117055,112.79171990637128,Animal,Salt Flat,Foggy,0.97,0
2026-01-13T14:49:01.875518,23.837897167469787,69.49539924193857,7.385483474376844,104.82446851878436,Animal,Marshy,Night,0.6,0
2026-01-13T14:49:02.875522,23.772339029518175,69.48346405212824,4.263727632249527,8.718524580140297,Vehicle,Sandy,Clear,0.78,0
2026-01-13T14:49:03.875525,23.753697184551648,69.53361997600548,6.604736500452765,55.86189246473295,Human,Sandy,Clear,0.67,0
2026-01-13T14:49:04.875529,23.800030862478284,69.45656987619061,3.9089957109825857,18.76025975632259,Human,Salt Flat,Foggy,0.62,0
2026-01-13T14:49:05.875532,23.837643225528527,69.51575089662951,2.9649004260732585,6.752293148693552,Animal,Sandy,Night,0.64,0
2026-01-13T14:49:06.875536,23.832632828737992,69.50920310379729,8.135823363361018,111.1719085249096,Animal,Marshy,Clear,0.91,0
2026-01-13T14:49:07.875540,23.784913877569625,69.49488604065357,3.667487830711924,18.9648788882328,Drone,Sandy,Clear,0.98,0
2026-01-13T14:49:08.875543,23.79708440211086,69.50684396126053,2.975416194437268,19.080473629206146,Vehicle,Sandy,Night,0.94,0
2026-01-13T14:49:09.875547,23.757760126785193,69.4935694425211,6.412377303971933,53.647119448241995,Human,Sandy,Clear,0.81,0
2026-01-13T14:49:10.875551,23.781511773320936,69.53473240313087,4.315530321654201,13.600226773576594,Vehicle,Salt Flat,Foggy,0.74,0
2026-01-13T14:49:11.875554,23.771235857449522,69.4798420518093,4.074841833430728,2.571254039327895,Vehicle,Marshy,Clear,0.96,0
2026-01-13T14:49:12.875558,23.83696056396552,69.47168656848166,3.559188878429499,3.142062723055825,Vehicle,Sandy,Night,0.86,0
2026-01-13T14:49:13.875561,23.751822592271946,69.51201074236532,6.88912756457393,69.25479190024518,Drone,Salt Flat,Clear,0.84,0
